,player_id,first_name,last_name,country_code,current_rank
382,126214,Alejandro,Tabilo,CHI,167
383,126237,Gian Marco,Moroni,ITA,229
384,126239,Arthur,Rinderknech,FRA,178
385,126328,Gabriel,Donev,BUL,999
386,126340,Viktor,Durasovic,NOR,340
387,126502,Luis Diego,Chavez Villalpando,ESP,1218
388,126504,Andrea,Pellegrino,ITA,278
389,126523,Bernabe,Zapata Miralles,ESP,150
390,126526,Soren,Hess Olesen,DEN,-1
391,126530,Peter,Bothwell,IRL,824
392,126535,Carlos,Taberner,ESP,142
393,126555,Tung Lin,Wu,TPE,247
394,126609,Patrik,Niklas Salminen,FIN,438
395,126610,Matteo,Berrettini,ITA,10
396,126612,Alexander,Cozbinov,MDA,766
397,126613,Bogdan,Borza,ROU,1202
398,126652,Jay,Clarke,GBR,191
399,126663,Juan Pablo,Ficovich,ARG,205
400,126774,Stefanos,Tsitsipas,GRE,6
401,126845,Max,Purcell,AUS,238
402,126846,Aleksandar,Vukic,AUS,195
403,126939,Khumoun,Sultanov,UZB,330
404,126952,Soon Woo,Kwon,KOR,95
405,126964,Vitaliy,Sachko,UKR,398
406,127143,Jirat,Navasirisomboon,THA,1590
407,127157,Daniel,Altmaier,GER,130
408,127300,Djurabek,Karimov,UZB,607
409,127326,Ben,Fatael,ISR,580
410,127339,Borna,Gojo,CRO,223
411,127570,Rodrigo,Arus,URU,-1
412,128034,Hubert,Hurkacz,POL,35
413,131951,Daniel,Cukierman,ISR,788
414,132283,Lorenzo,Sonego,ITA,33
415,132374,Jesse,Flores,CAN,1050
416,132482,Liam,Caruana,USA,440
417,132932,Franz,Luna Lavidalie,GUA,-1
418,133018,Michail,Pervolarakis,CYP,458
419,133297,Yosuke,Watanuki,JPN,252
420,133430,Denis,Shapovalov,CAN,12
421,133975,Benjamin,Hassan,GER,371
422,133979,Hasan,Ibrahim,GER,1549
423,134114,Jad,Ballout,TPE,-1
424,134120,Kuan Yi,Lee,TPE,758
425,134217,Skyler,Butts,HKG,1624
426,134677,Juan,Borba,PAR,-1
427,134770,Casper,Ruud,NOR,27
428,134868,Tallon,Griekspoor,NED,155
429,134886,Sharmal,Dissanayake,SRI,-1
430,136440,Dominik,Koepfer,GER,66
431,137018,Ayed,Zatar,PAR,-1
432,138431,Darko,Bojanovic,BIH,1500
433,138845,Anthony Jackie,Tang,HKG,-1
434,138846,Hong Kit Jack,Wong,HKG,924
435,144642,Marcelo Tomas,Barrios Vera,CHI,254
436,144645,Zdenek,Kolar,CZE,224
437,144650,Rhett,Purcell,GBR,910
438,144687,Quinton,Vega,USA,-1
439,144707,Mikael,Ymer,SWE,94
440,144719,Jaume,Munar,ESP,109
441,144750,Lloyd George Muirhead,Harris,RSA,90
442,144760,Amine,Ahouda,MAR,1642
443,144775,Linh Giang,Trinh,VIE,-1
444,144776,Christophe,Tholl,LUX,-1
445,144807,Kenneth,Raisma,EST,819
446,144817,Marc Andrea,Huesler,SUI,147
447,144826,Aziz,Dougaz,TUN,377
448,144841,Christian,Sigsgaard,DEN,-1
449,144895,Corentin,Moutet,FRA,80
450,144932,Kristjan,Tamm,EST,626
451,144946,Rayane,Roumane,FRA,383
452,144984,Artem,Dubrivnyy,RUS,426
453,144985,Ergi,Kirkin,TUR,446
454,145016,Julian,Saborio,CRC,-1
455,200000,Felix,Auger Aliassime,CAN,21
456,200005,Ugo,Humbert,FRA,31
457,200031,Lucas,Catarina,MON,423
458,200045,Anthony,Susanto,INA,-1
459,200059,Yibing,Wu,CHN,892
460,200075,Yshai,Oliel,ISR,416
461,200095,Nicola,Kuhn,ESP,253
462,200175,Miomir,Kecmanovic,SRB,42
463,200181,Amer,Naow,SYR,-1
464,200218,Mate,Valkusz,HUN,575
