player_id,first_name,last_name,country_code,current_rank
104312,Andreas,Seppi,ITA,105
206716,Lukas,Hellum Lilleengen,NOR,1445
126845,Max,Purcell,AUS,238
126846,Aleksandar,Vukic,AUS,195
200574,Alexander,Donski,CAN,594
106368,Ramkumar,Ramanathan,IND,188
104327,Steve,Darcis,BEL,273
106378,Kyle,Edmund,GBR,48
106388,Pak Long,Yeung,HKG,966
106393,Frederico,Ferreira Silva,POR,182
133018,Michail,Pervolarakis,CYP,458
206748,Giulio,Zeppieri,ITA,328
106397,Wishaya,Trongcharoenchaikul,THA,644
206750,Daniil,Glinka,EST,846
106398,Pedro,Cachin,ARG,370
106401,Nick,Kyrgios,AUS,46
200611,Elliot,Benchetrit,FRA,221
200615,Alexei,Popyrin,AUS,113
106408,Mario,Vilella Martinez,ESP,186
200620,Ignacio,Garcia,PUR,-1
106415,Yoshihito,Nishioka,JPN,57
200624,Sebastian,Korda,USA,119
106421,Daniil,Medvedev,RUS,4
106426,Christian,Garin,CHI,22
106432,Borna,Coric,CRO,24
200670,Jeffrey John,Wolf,USA,127
104424,Go,Soeda,JPN,134
126952,Soon Woo,Kwon,KOR,95
126964,Vitaliy,Sachko,UKR,398
