tourney_id,surface,winner_id,loser_id
2020-560,Hard,105173,106058
2020-520,Clay,105138,105226
2020-M-DC-2020-QLS-M-CRO-IND-01,Hard,105227,106368
2020-520,Clay,200624,104312
2020-560,Hard,106432,111442
2020-580,Hard,103819,105936
2020-0495,Hard,105332,105227
2020-560,Hard,200175,126149
2020-0352,Hard,105683,105379
2020-M-DC-2020-QLS-M-BEL-HUN-01,Clay,105074,105226
2020-M-DC-2020-WG1-PO-PAK-SLO-01,Grass,103499,104882
2020-M-DC-2020-WG2-PO-LAT-EGY-01,Hard,105208,105633
2020-560,Hard,126952,111515
2020-520,Clay,126610,144750
2020-M009,Clay,105453,105077
2020-560,Hard,106432,106228
2020-8996,Clay,134770,126214
2020-6932,Clay,124079,104665
2020-0301,Hard,105332,106329
2020-580,Hard,105208,200000
2020-580,Hard,104792,103333
2020-580,Hard,106421,200615
2020-520,Clay,110748,105936
2020-520,Clay,106426,117360
2020-560,Hard,100644,200221
2020-8888,Hard,105227,200390
2020-580,Hard,126774,104259
2020-0891,Hard,105216,104678
2020-0495,Hard,126094,207518
2020-0352,Hard,105227,200000
2020-7434,Hard,106234,106121
2020-M-DC-2020-WG1-PO-BIH-RSA-01,Hard,106000,105434
2020-0352,Hard,105807,105613
2020-520,Clay,105777,106296
2020-520,Clay,123755,105815
2020-560,Hard,105807,106283
2020-8888,Hard,128034,106233
2020-8888,Hard,105526,133018
2020-580,Hard,126774,106099
2020-0506,Clay,106075,144895
2020-0424,Hard,111442,104545
2020-6932,Clay,105948,207989
2020-M009,Clay,136440,200282
2020-560,Hard,202195,106075
2020-520,Clay,105732,111581
2020-560,Hard,105526,111581
2020-560,Hard,126094,126610
2020-0301,Hard,200005,105332
2020-580,Hard,105683,105841
2020-580,Hard,105683,106426
2020-580,Hard,106043,105583
2020-9158,Clay,106043,144719
2020-0375,Hard,104755,103852
2020-7434,Hard,104755,207797
2020-M009,Clay,105948,105526
2020-560,Hard,124014,111794
2020-520,Clay,105777,105413
2020-560,Hard,133430,126952
2020-580,Hard,104259,106218
2020-9158,Clay,106043,111513
2020-8888,Hard,105882,126203
2020-580,Hard,106078,134770
2020-0424,Hard,105359,124187
2020-0499,Hard,105683,104797
2020-580,Hard,105227,105332
2020-0375,Hard,105936,106296
2020-0375,Hard,200325,110602
2020-0499,Hard,126952,105992
2020-560,Hard,106421,126207
2020-0568,Hard,106421,104755
2020-0352,Hard,200005,134770
