tourney_id,surface,winner_id,loser_id
2019-0352,Hard,105430,104312
2019-0337,Hard,106233,106043
2019-0352,Hard,105526,106415
2019-M007,Hard,104665,103333
2019-580,Hard,105683,105732
2019-0496,Hard,104660,106296
2019-M006,Hard,105936,106421
2019-M007,Hard,106432,104871
2019-520,Clay,104792,105173
2019-0500,Grass,103819,105732
2019-7650,Grass,132283,200175
2019-M024,Hard,104755,106043
2019-560,Hard,200282,106426
2019-M-DC-2019-FLS-C-M-ARG-CHI-01,Hard,105550,111797
2019-0605,Hard,106233,103819
2019-M-DC-2019-QLS-M-JPN-CHN-01,Hard,106121,104810
2019-M035,Hard,106415,105676
2019-5014,Hard,105062,200175
2019-0451,Hard,106065,105550
2019-M001,Hard,126774,105819
2019-M006,Hard,105526,105575
2019-M007,Hard,106000,111153
2019-M021,Clay,104925,105227
2019-520,Clay,106228,105932
2019-0500,Grass,103819,105138
2019-540,Grass,200005,200000
2019-6116,Hard,105554,105430
2019-M035,Hard,105332,117360
2019-7485,Hard,200005,105676
2019-M014,Hard,106078,105341
2019-560,Hard,104745,106043
2019-M035,Hard,105065,105051
2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,Hard,144750,106220
2019-0568,Hard,105062,206173
2019-0429,Hard,105649,144707
2019-M007,Hard,200175,105208
2019-M020,Hard,104871,106034
2019-7434,Hard,120424,105173
2019-0424,Hard,104545,111442
2019-M007,Hard,106401,105583
2019-520,Clay,105223,106415
2019-0500,Grass,105676,100644
2019-0319,Clay,106233,105077
2019-560,Hard,103852,106415
2019-0341,Hard,106298,132283
2019-M-DC-2019-QLS-M-SWE-COL-01,Clay,105053,111200
2019-0429,Hard,105649,111790
2019-6242,Hard,128034,103852
2019-540,Grass,105311,105554
2019-M-DC-2019-G1-AO-M-CHN-KOR-01,Hard,106227,104810
2019-0301,Hard,105815,109739
2019-9158,Clay,104655,105379
2019-0533,Clay,106426,134770
2019-0717,Clay,134770,123755
2019-520,Clay,104655,106378
2019-0500,Grass,105138,104755
2019-7650,Grass,123795,105208
2019-540,Grass,105676,106421
2019-M035,Hard,105376,200282
2019-0421,Hard,128034,126774
2019-0341,Hard,104755,104719
2019-540,Grass,103819,105453
2019-540,Grass,104898,106075
2019-M014,Hard,126094,106078
2019-0429,Hard,105554,106071
2019-0308,Clay,105138,200484
2019-0495,Hard,128034,105453
2019-M006,Hard,103333,106432
2019-M007,Hard,104731,105311
2019-7290,Clay,126774,105676
2019-M010,Grass,104898,200005
2019-0311,Grass,104468,104868
2019-M016,Grass,126203,128034
2019-540,Grass,111513,105819
2019-0414,Clay,105643,106065
2019-0337,Hard,105807,105062
2019-M-DC-2019-G2-EPA-M-RSA-BUL-01,Hard,144750,200247
