player_id,first_name,last_name,country_code,current_rank,current_points
200514,Jurij,Rodionov,AUT,143,458
104259,Philipp,Kohlschreiber,GER,97,749
132932,Franz,Luna Lavidalie,GUA,-1,-1
104269,Fernando,Verdasco,ESP,65,985
200526,Juan,Lugo,VEN,-1,-1
106329,Thiago,Monteiro,BRA,84,820
104291,Malek,Jaziri,TUN,249,220
104297,Rogerio,Dutra Silva,BRA,449,81
200553,Alen,Avidzba,RUS,457,80
206703,Paul,Jubb,GBR,523,62
106353,Pedja,Krstin,SRB,265,207
104312,Andreas,Seppi,ITA,105,699
106368,Ramkumar,Ramanathan,IND,188,345
104327,Steve,Darcis,BEL,273,196
106378,Kyle,Edmund,GBR,48,1095
106388,Pak Long,Yeung,HKG,966,12
106397,Wishaya,Trongcharoenchaikul,THA,644,36
106398,Pedro,Cachin,ARG,370,112
106401,Nick,Kyrgios,AUS,46,1170
200611,Elliot,Benchetrit,FRA,221,260
200615,Alexei,Popyrin,AUS,113,631
106412,Lucas,Gomez,MEX,1027,10
106415,Yoshihito,Nishioka,JPN,57,1062
106421,Daniil,Medvedev,RUS,4,8470
106423,Thanasi,Kokkinakis,AUS,260,209
106426,Christian,Garin,CHI,22,2180
106432,Borna,Coric,CRO,24,1855
104386,Janko,Tipsarevic,SRB,263,208
110536,Kevin,King,USA,304,154
126939,Khumoun,Sultanov,UZB,330,133
126952,Soon Woo,Kwon,KOR,95,768
104424,Go,Soeda,JPN,134,490
