tourney_id,tourney_name,surface,tourney_date
2018-0425,Barcelona,Clay,20180423
2018-M-DC-2018-WG-M-FRA-NED-01,Davis Cup WG R1: FRA vs NED,Hard,20180202
2018-M-DC-2018-G2-AM-M-VEN-GUA-01,Davis Cup G2 R1: VEN vs GUA,Hard,20180203
2018-M-DC-2018-WG-M-USA-BEL-01,Davis Cup WG QF: USA vs BEL,Hard,20180406
2018-0495,Dubai,Hard,20180226
2018-7648,Budapest,Clay,20180423
2018-M-DC-2018-WG-M-CAN-CRO-01,Davis Cup WG R1: CAN vs CRO,Clay,20180202
2018-0451,Doha,Hard,20180101
2018-M-DC-2018-G1-EPA-M-UKR-SWE-01,Davis Cup G1 R1: UKR vs SWE,Hard,20180202
2018-6967,Shenzhen,Hard,20180924
2018-6116,Atlanta,Hard,20180723
2018-M-DC-2018-G2-EPA-M-TUN-FIN-01,Davis Cup G2 R1: TUN vs FIN,Hard,20180203
2018-0717,Houston,Clay,20180409
2018-M-DC-2018-G2-EPA-M-FIN-LTU-01,Davis Cup G2 R2: FIN vs LTU,Hard,20180407
2018-M-DC-2018-G1-AO-M-KOR-PAK-01,Davis Cup G1 R1: KOR vs PAK,Grass,20180202
2018-M004,Acapulco,Hard,20180226
2018-0499,Delray Beach,Hard,20180219
2018-0314,Gstaad,Clay,20180723
2018-M-DC-2018-WG-PO-SRB-IND-01,Davis Cup WG PO: SRB vs IND,Clay,20180914
2018-7485,Antwerp,Hard,20181015
2018-7290,Estoril,Clay,20180430
2018-M-DC-2018-G2-AO-M-THA-SRI-01,Davis Cup G2 R1: THA vs SRI,Clay,20180203
2018-M-DC-2018-G2-EPA-M-GEO-MAR-01,Davis Cup G2 R1: GEO vs MAR,Clay,20180203
2018-M-DC-2018-WG-M-AUS-GER-01,Davis Cup WG R1: AUS vs GER,Hard,20180202
2018-M-DC-2018-G2-EPA-M-EGY-FIN-01,Davis Cup G2 R3: EGY vs FIN,Clay,20180914
2018-0352,Paris Masters,Hard,20181029
2018-M-DC-2018-WG-PO-CAN-NED-01,Davis Cup WG PO: CAN vs NED,Hard,20180914
2018-6242,Winston-Salem,Hard,20180820
2018-M-DC-2018-WG-M-KAZ-CRO-01,Davis Cup WG QF: KAZ vs CRO,Clay,20180406
2018-M-DC-2018-WG-M-KAZ-SUI-01,Davis Cup WG R1: KAZ vs SUI,Hard,20180202
2018-M-DC-2018-G2-AO-M-PHI-INA-01,Davis Cup G2 R1: PHI vs INA,Hard,20180203
2018-M-DC-2018-G2-AO-M-THA-PHI-01,Davis Cup G2 R2: THA vs PHI,Clay,20180407
2018-M-DC-2018-G2-AO-M-THA-LBN-01,Davis Cup G2 R3: THA vs LBN,Hard,20180915
2018-0891,Pune,Hard,20180101
2018-7696,ATP Next Gen Finals,Hard,20181105
2018-M-DC-2018-G2-EPA-M-EGY-DEN-01,Davis Cup G2 R2: EGY vs DEN,Hard,20180407
2018-M009,Rome Masters,Clay,20180514
2018-0311,Queen's Club,Grass,20180618
2018-M016,Eastbourne,Grass,20180625
2018-M-DC-2018-WG-M-FRA-CRO-01,Davis Cup WG F: FRA vs CRO,Clay,20181123
2018-M-DC-2018-G1-AM-M-CHI-ECU-01,Davis Cup G1 R1: CHI vs ECU,Clay,20180202
2018-6932,Rio de Janeiro,Clay,20180219
2018-0439,Umag,Clay,20180716
2018-M-DC-2018-G2-AO-M-IRI-HKG-01,Davis Cup G2 R1: IRI vs HKG,Hard,20180203
2018-0360,Marrakech,Clay,20180409
2018-0407,Rotterdam,Hard,20180212
2018-M021,Madrid Masters,Clay,20180507
2018-0315,Newport,Grass,20180716
2018-M-DC-2018-WG-PO-JPN-BIH-01,Davis Cup WG PO: JPN vs BIH,Hard,20180914
2018-M-DC-2018-WG-M-HUN-BEL-01,Davis Cup WG R1: HUN vs BEL,Hard,20180202
2018-M-DC-2018-WG-M-CRO-USA-01,Davis Cup WG SF: CRO vs USA,Clay,20180914
2018-0533,Sao Paulo,Clay,20180226
2018-M001,Sydney,Hard,20180108
2018-M-DC-2018-G2-EPA-M-SLO-POL-01,Davis Cup G2 R1: SLO vs POL,Hard,20180203
2018-0375,Montpellier,Hard,20180205
2018-0308,Munich,Clay,20180430
2018-M-DC-2018-WG-PO-AUT-AUS-01,Davis Cup WG PO: AUT vs AUS,Clay,20180914
2018-M-DC-2018-WG-M-USA-SRB-01,Davis Cup WG R1: USA vs SRB,Clay,20180202
2018-0301,Auckland,Hard,20180108
2018-7480,Los Cabos,Hard,20180730
2018-M-DC-2018-G2-EPA-M-ROU-POL-01,Davis Cup G2 R3: ROU vs POL,Clay,20180915
2018-M-DC-2018-G2-AO-M-LBN-TPE-01,Davis Cup G2 R1: LBN vs TPE,Hard,20180203
2018-M-DC-2018-G1-AM-M-DOM-BRA-01,Davis Cup G1 R1: DOM vs BRA,Hard,20180202
2018-0410,Monte Carlo Masters,Clay,20180416
2018-M-DC-2018-G1-AO-M-PAK-UZB-01,Davis Cup G1 R2: PAK vs UZB,Grass,20180406
2018-0429,Stockholm,Hard,20181015
2018-7650,Antalya,Grass,20180625
2018-0421,Canada Masters,Hard,20180806
2018-0337,Vienna,Hard,20181022
2018-M006,Indian Wells Masters,Hard,20180305
2018-M-DC-2018-G2-AM-M-ESA-URU-01,Davis Cup G2 R1: ESA vs URU,Hard,20180203
2018-M010,s Hertogenbosch,Grass,20180611
2018-M035,Washington,Hard,20180730
2018-M-DC-2018-WG-PO-GBR-UZB-01,Davis Cup WG PO: GBR vs UZB,Hard,20180914
2018-M-DC-2018-G2-AM-M-URU-MEX-01,Davis Cup G2 R3: URU vs MEX,Clay,20180915
2018-0341,Metz,Hard,20180917
2018-M-DC-2018-G2-EPA-M-ROU-LUX-01,Davis Cup G2 R1: ROU vs LUX,Hard,20180203
2018-5014,Shanghai Masters,Hard,20181008
2018-M020,Brisbane,Hard,20180101
2018-M-DC-2018-G1-EPA-M-BIH-SVK-01,Davis Cup G1 R2: BIH vs SVK,Clay,20180406
2018-M014,Moscow,Hard,20181015
2018-M-DC-2018-G2-EPA-M-IRL-DEN-01,Davis Cup G2 R1: IRL vs DEN,Hard,20180203
2018-M-DC-2018-G2-EPA-M-ROU-MAR-01,Davis Cup G2 R2: ROU vs MAR,Hard,20180407
2018-580,Australian Open,Hard,20180115
2018-7434,Sofia,Hard,20180205
2018-520,Roland Garros,Clay,20180528
2018-0321,Stuttgart,Grass,20180611
2018-M024,Cincinnati Masters,Hard,20180813
2018-7163,Istanbul,Clay,20180430
2018-M-DC-2018-WG-PO-SUI-SWE-01,Davis Cup WG PO: SUI vs SWE,Hard,20180914
2018-0605,Tour Finals,Hard,20181112
2018-0328,Basel,Hard,20181022
2018-M-DC-2018-G1-EPA-M-RSA-ISR-01,Davis Cup G1 R1: RSA vs ISR,Hard,20180202
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,Davis Cup G1 R1: AUT vs BLR,Clay,20180202
2018-0424,New York,Hard,20180212
2018-M-DC-2018-G1-EPA-M-POR-SWE-01,Davis Cup G1 R2: POR vs SWE,Hard,20180406
2018-M-DC-2018-WG-M-FRA-ITA-01,Davis Cup WG QF: FRA vs ITA,Clay,20180406
2018-0500,Halle,Grass,20180618
2018-7581,Chengdu,Hard,20180924
2018-M-DC-2018-G1-AM-M-COL-BRA-01,Davis Cup G1 R2: COL vs BRA,Hard,20180406
2018-M-DC-2018-G2-AM-M-MEX-PER-01,Davis Cup G2 R2: MEX vs PER,Hard,20180407
2018-M-DC-2018-G1-AO-M-IND-CHN-01,Davis Cup G1 R2: IND vs CHN,Hard,20180406
2018-M-DC-2018-WG-M-ESP-GER-01,Davis Cup WG QF: ESP vs GER,Clay,20180406
2018-7161,Quito,Clay,20180205
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,Davis Cup G1 R2: CZE vs ISR,Clay,20180406
2018-M-DC-2018-WG-PO-ARG-COL-01,Davis Cup WG PO: ARG vs COL,Clay,20180914
2018-0414,Hamburg,Clay,20180723
2018-M007,Miami Masters,Hard,20180319
