player_id,first_name,last_name,average_opponents
111453,Mikael,Torpegaard,0.667
131951,Daniel,Cukierman,0.667
207738,Brandon,Perez,0.667
105339,Yan,Bai,0.667
125842,Adam,Moundir,0.667
111574,Jc,Aragone,0.667
111578,Stefan,Kozlov,0.667
105434,Ruan,Roelofse,0.667
207852,Wai Yu,Kai,0.667
105467,Jordi,Munoz Abreu,0.667
105499,Christopher,Diaz Figueroa,0.667
124022,Chun Hun,Wong,0.667
207989,Carlos,Alcaraz Garfia,0.667
109699,Julian,Lenz,0.667
208004,Harold,Mayot,0.667
126128,Roman,Safiullin,0.667
105707,Nicolaas,Scholtz,0.667
105723,Andrey,Kuznetsov,0.667
132374,Jesse,Flores,0.667
126237,Gian Marco,Moroni,0.667
144687,Quinton,Vega,0.667
202065,Petros,Tsitsipas,0.667
200031,Lucas,Catarina,0.667
202103,Francisco,Cerundolo,0.667
144776,Christophe,Tholl,0.667
105906,Kevin,Krawietz,0.667
144826,Aziz,Dougaz,0.667
144841,Christian,Sigsgaard,0.667
202195,Maxime,Cressy,0.667
208364,Franco,Roncadelli,0.667
202261,Otto,Virtanen,0.667
144932,Kristjan,Tamm,0.667
106021,Dragos,Dima,0.667
126504,Andrea,Pellegrino,0.667
126526,Soren,Hess Olesen,0.667
126530,Peter,Bothwell,0.667
200278,Simon,Carr,0.667
138846,Hong Kit Jack,Wong,0.667
106106,George,Tsivadze,0.667
208518,Hazem,Naw,0.667
126609,Patrik,Niklas Salminen,0.667
106137,Tristan,Lamasine,0.667
106167,Joris,De Loore,0.667
106177,Oriol,Roca Batalla,0.667
134886,Sharmal,Dissanayake,0.667
104229,Yen Hsun,Lu,0.667
137018,Ayed,Zatar,0.667
132932,Franz,Luna Lavidalie,0.667
106324,Vaclav,Safranek,0.667
200553,Alen,Avidzba,0.667
206703,Paul,Jubb,0.667
126845,Max,Purcell,0.667
126846,Aleksandar,Vukic,0.667
200574,Alexander,Donski,0.667
106388,Pak Long,Yeung,0.667
106391,Adrian,Bodmer,0.667
106393,Frederico,Ferreira Silva,0.667
126939,Khumoun,Sultanov,0.667
200711,Nicolas,Mejia,0.333
208937,Kasidit,Samrej,0.333
110686,Finn,Tearney,0.333
104593,Daniel,Gimeno Traver,0.333
104597,Nicolas,Almagro,0.333
110778,Joao Lucas,Magalhaes Hueb De Menezes,0.333
209119,Aissa,Benchakroun,0.333
108772,Julius,Tverijonas,0.333
207134,Fitriadi,M Rifqi,0.333
104735,Tobias,Kamke,0.333
209188,Ari,Fahresi,0.333
207176,Muhammad,Althaf Dhaifullah,0.333
209225,Martin Antonio,Vergara Del Puerto,0.333
207182,Emilio,Nava,0.333
209238,Sebastian,Dominguez,0.333
127326,Ben,Fatael,0.333
104804,Amir,Weintraub,0.333
104901,Vladimir,Ivanov,0.333
104947,Marsel,Ilhan,0.333
207400,Mark,Chigaazira,0.333
207401,Sheil,Kotecha,0.333
207415,Daniel,Michalski,0.333
207421,Alex,Fairbanks,0.333
121411,Moez,Chargui,0.333
127570,Rodrigo,Arus,0.333
207479,Soufiane,El Mesbahi,0.333
105091,Peter,Torebko,0.333
105111,Ivan,Endara,0.333
121531,Mats,Moraing,0.333
207608,Timofey,Skatov,0.333
105254,Nikola,Mektic,0.333
207669,Robert,Strombachs,0.333
105273,Mauricio,Echazu,0.333
207680,Facundo,Diaz Acosta,0.333
105299,Dzmitry,Zhyrmont,0.333
133979,Hasan,Ibrahim,0.333
123768,Collin,Altamirano,0.333
205695,Ching,Lam,0.333
111505,Enzo,Couacaud,0.333
209866,Karlis,Ozolins,0.333
209867,Daniil,Ostapenkov,0.333
209868,Kaipo,Marshall,0.333
209869,Rodrigo,Crespo Piedra,0.333
209870,Gunawan,Trismuwantara,0.333
209871,Amr Elsayed Abdou Ahmed,Mohamed,0.333
209872,Thehan Sanjaya,Wijemanne,0.333
209873,Eric Jr.,Olivarez,0.333
209874,Maks,Kasnikowski,0.333
207830,Tomas,Machac,0.333
207836,Muzammil,Murtaza,0.333
134114,Jad,Ballout,0.333
134120,Kuan Yi,Lee,0.333
105464,Christopher,Rungkat,0.333
105479,Alejandro,Mendoza,0.333
105502,N Sriram,Balaji,0.333
121896,Gabor,Borsos,0.333
105515,Jordi,Samper Montana,0.333
109640,Andrea,Basso,0.333
134217,Skyler,Butts,0.333
123983,Nerman,Fatic,0.333
105566,Shahin,Khaledan,0.333
207971,Xavier,Lawrence,0.333
207972,Minjong,Park,0.333
207973,Ainius,Sabaliauskas,0.333
105578,Cristian,Rodriguez,0.333
105587,Tom,Kocevar Desman,0.333
109698,Christoffer,Konigsfeldt,0.333
105606,Mohsen,Hossein Zade,0.333
126102,Nicolae,Frunza,0.333
208028,Francisco,Llanes,0.333
208043,Ismael Changawa Ruwa,Mzai,0.333
206000,Michel,Saade,0.333
111805,Seong Chan,Hong,0.333
138431,Darko,Bojanovic,0.333
105668,Jerzy,Janowicz,0.333
105691,Scott,Griekspoor,0.333
124126,Sarp,Agabigun,0.333
208103,Jiri,Lehecka,0.333
208108,Brian,Shi,0.333
124154,Sasi Kumar,Mukund,0.333
144645,Zdenek,Kolar,0.333
208134,Luca,Nardi,0.333
144650,Rhett,Purcell,0.333
201995,Cayetano,March,0.333
124186,Alexandre,Muller,0.333
126239,Arthur,Rinderknech,0.333
208230,Alibek,Kachmazov,0.333
200045,Anthony,Susanto,0.333
126328,Gabriel,Donev,0.333
206199,Kevin,Cheruiyot,0.333
122236,Roman,Hassanov,0.333
208260,Zachary,Svajda,0.333
144775,Linh Giang,Trinh,0.333
202120,Rowland,Phillips,0.333
200075,Yshai,Oliel,0.333
202130,Emil,Reinberg,0.333
144807,Kenneth,Raisma,0.333
122298,Botic,Van De Zandschulp,0.333
105935,Duilio,Beretta,0.333
202210,Edris,Fetisleam,0.333
105954,Peter,Nagy,0.333
105960,Evan,King,0.333
105961,David,Souto,0.333
105963,Arthur,De Greef,0.333
200181,Amer,Naow,0.333
202246,Nikoloz,Davlianidze,0.333
134677,Juan,Borba,0.333
202262,Filip Cristian,Jianu,0.333
126502,Luis Diego,Chavez Villalpando,0.333
106031,Raymond,Sarmiento,0.333
106032,Facundo,Arguello,0.333
144946,Rayane,Roumane,0.333
202300,Phuong Van,Nguyen,0.333
200265,Ulises,Blanch,0.333
200267,Zizou,Bergs,0.333
200274,Alex,Diaz,0.333
144984,Artem,Dubrivnyy,0.333
144985,Ergi,Kirkin,0.333
208476,Kyle,Johnson,0.333
138845,Anthony Jackie,Tang,0.333
200303,Pavel,Kotov,0.333
145016,Julian,Saborio,0.333
202382,Simen Sunde,Bratholm,0.333
200335,Felipe,Meligeni Rodrigues Alves,0.333
126613,Bogdan,Borza,0.333
200343,David,Szintai,0.333
106138,Yaraslau,Shyla,0.333
202400,Alastair,Gray,0.333
122533,Nam Hoang,Ly,0.333
200368,Jack Mingjie,Lin,0.333
106174,Gonzalo,Lama,0.333
126663,Juan Pablo,Ficovich,0.333
122570,Mubarak Shannan,Zayid,0.333
200401,Amir Hossein,Badi,0.333
208597,Chak Lam Coleman,Wong,0.333
106203,Pedro,Sakamoto,0.333
202475,Philip,Henning,0.333
106227,Ji Sung,Nam,0.333
106247,Nik,Razborsek,0.333
206600,Zura,Tkemaladze,0.333
200483,Peter August,Anker,0.333
206642,Yassir,Kilani,0.333
104251,Ti,Chen,0.333
106302,Andrew,Harris,0.333
200526,Juan,Lugo,0.333
106325,Jabor,Al Mutawa,0.333
106333,Julien,Cagnina,0.333
106348,Evgeny,Karlovskiy,0.333
104308,Michal,Przysiezny,0.333
206716,Lukas,Hellum Lilleengen,0.333
106396,Cheng Yu,Yu,0.333
206748,Giulio,Zeppieri,0.333
206750,Daniil,Glinka,0.333
106408,Mario,Vilella Martinez,0.333
106410,Jorge Brian,Panta Herreros,0.333
200619,Sebastian,Arcila,0.333
206768,Rafael Eduardo,Gonzalez Retana,0.333
120792,M Abid Ali Khan,Akbar,0.333
126964,Vitaliy,Sachko,0.333
